index,name,golden_ref,predicted,matches_golden,truth_info,matches_truth_info,golden_scores,scores,score_error_pct,latency_ms,tx_ms,timeout,retries,raw
0,go_f19279c4_nohash_0,no,no,1,unknown,0,-128;-107;-121;100,-128;-107;-121;100,0.0000,8.100,21.322,0,0,YZ:3 S=-128;-107;-121;100
1,no_256c0a05_nohash_0,no,no,1,no,1,-128;-127;-128;126,-128;-127;-128;126,0.0000,9.223,20.389,0,0,YZ:3 S=-128;-127;-128;126
2,no_9be15e93_nohash_0,no,no,1,no,1,-128;-127;-128;127,-128;-127;-128;127,0.0000,9.265,20.549,0,0,YZ:3 S=-128;-127;-128;127
3,yes_ffb86d3c_nohash_0,yes,yes,1,yes,1,-128;-127;127;-128,-128;-127;127;-128,0.0000,8.382,21.123,0,0,YZ:2 S=-128;-127;127;-128
4,go_0c40e715_nohash_1,no,no,1,unknown,0,-128;-124;-128;124,-128;-124;-128;124,0.0000,9.302,20.136,0,0,YZ:3 S=-128;-124;-128;124
5,yes_7be9f58a_nohash_0,yes,yes,1,yes,1,-128;-120;98;-105,-128;-120;98;-105,0.0000,9.253,20.228,0,0,YZ:2 S=-128;-120;98;-105
6,yes_525eaa62_nohash_2,yes,yes,1,yes,1,-128;-128;127;-127,-128;-128;127;-127,0.0000,8.117,21.384,0,0,YZ:2 S=-128;-128;127;-127
7,no_c39703ec_nohash_4,no,no,1,no,1,-128;-101;-126;98,-128;-101;-126;98,0.0000,8.145,21.129,0,0,YZ:3 S=-128;-101;-126;98
8,no_c0fb6812_nohash_0,no,no,1,no,1,-128;-108;-127;107,-128;-108;-127;107,0.0000,9.294,20.431,0,0,YZ:3 S=-128;-108;-127;107
9,yes_4bc2c2c5_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,8.319,21.194,0,0,YZ:2 S=-128;-128;127;-128
10,_background_noise__doing_the_dishes,silence,silence,1,silence,1,43;-71;-119;-109,43;-71;-119;-109,0.0000,9.120,20.365,0,0,YZ:0 S=43;-71;-119;-109
11,yes_f575faf3_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,9.236,20.264,0,0,YZ:2 S=-128;-128;127;-128
12,yes_73af0c50_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,8.155,21.346,0,0,YZ:2 S=-128;-128;127;-128
13,go_726382d6_nohash_1,no,no,1,unknown,0,-128;-113;-128;112,-128;-113;-128;112,0.0000,8.149,21.221,0,0,YZ:3 S=-128;-113;-128;112
14,yes_953fe1ad_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,9.177,20.305,0,0,YZ:2 S=-128;-128;127;-128
15,go_ab46af55_nohash_1,no,no,1,unknown,0,-128;-6;-128;6,-128;-6;-128;6,0.0000,9.161,20.390,0,0,YZ:3 S=-128;-6;-128;6
16,yes_23da904f_nohash_3,yes,yes,1,yes,1,-128;-127;127;-128,-128;-127;127;-128,0.0000,9.212,20.373,0,0,YZ:2 S=-128;-127;127;-128
17,yes_93ec8b84_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,9.162,20.399,0,0,YZ:2 S=-128;-128;127;-128
18,no_64df20d8_nohash_0,no,no,1,no,1,-128;-120;-128;119,-128;-120;-128;119,0.0000,8.097,21.251,0,0,YZ:3 S=-128;-120;-128;119
19,no_cc3b5b62_nohash_4,no,no,1,no,1,-128;-120;-121;113,-128;-120;-121;113,0.0000,8.140,21.422,0,0,YZ:3 S=-128;-120;-121;113
20,yes_f5626af6_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,8.311,21.403,0,0,YZ:2 S=-128;-128;127;-128
21,no_3ca784ec_nohash_1,no,no,1,no,1,-128;-126;-128;126,-128;-126;-128;126,0.0000,8.097,21.035,0,0,YZ:3 S=-128;-126;-128;126
22,no_e71a9381_nohash_2,no,no,1,no,1,-128;-126;-128;126,-128;-126;-128;126,0.0000,8.165,21.296,0,0,YZ:3 S=-128;-126;-128;126
23,no_1995cf9e_nohash_0,no,no,1,no,1,-128;-127;-128;127,-128;-127;-128;127,0.0000,9.317,20.363,0,0,YZ:3 S=-128;-127;-128;127
24,no_9712cce0_nohash_0,no,no,1,no,1,-128;-124;-128;124,-128;-124;-128;124,0.0000,8.298,21.087,0,0,YZ:3 S=-128;-124;-128;124
25,no_40b60ae9_nohash_0,no,no,1,no,1,-128;-124;-128;124,-128;-124;-128;124,0.0000,8.234,21.160,0,0,YZ:3 S=-128;-124;-128;124
26,yes_39afb88e_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,8.164,20.898,0,0,YZ:2 S=-128;-128;127;-128
27,go_8931f494_nohash_0,no,no,1,unknown,0,-128;-12;-128;11,-128;-12;-128;11,0.0000,7.985,21.601,0,0,YZ:3 S=-128;-12;-128;11
28,yes_31fd5cf5_nohash_0,unknown,unknown,1,yes,0,-128;6;-16;-119,-128;6;-16;-119,0.0000,8.216,21.467,0,0,YZ:1 S=-128;6;-16;-119
