index,name,golden_ref,predicted,matches_golden,truth_info,matches_truth_info,golden_scores,scores,score_error_pct,latency_ms,tx_ms,timeout,retries,raw
0,go_f19279c4_nohash_0,no,no,1,unknown,0,-128;-107;-121;100,-128;-107;-121;100,0.0000,3.061,8.304,0,0,YZ:3 S=-128;-107;-121;100
1,no_256c0a05_nohash_0,no,no,1,no,1,-128;-127;-128;126,-128;-127;-128;126,0.0000,3.090,8.493,0,0,YZ:3 S=-128;-127;-128;126
2,no_9be15e93_nohash_0,no,no,1,no,1,-128;-127;-128;127,-128;-127;-128;127,0.0000,2.919,8.483,0,0,YZ:3 S=-128;-127;-128;127
3,yes_ffb86d3c_nohash_0,yes,yes,1,yes,1,-128;-127;127;-128,-128;-127;127;-128,0.0000,2.963,8.619,0,0,YZ:2 S=-128;-127;127;-128
4,go_0c40e715_nohash_1,no,no,1,unknown,0,-128;-124;-128;124,-128;-124;-128;124,0.0000,4.707,6.807,0,0,YZ:3 S=-128;-124;-128;124
5,yes_7be9f58a_nohash_0,yes,yes,1,yes,1,-128;-120;98;-105,-128;-120;98;-105,0.0000,3.050,8.493,0,0,YZ:2 S=-128;-120;98;-105
6,yes_525eaa62_nohash_2,yes,yes,1,yes,1,-128;-128;127;-127,-128;-128;127;-127,0.0000,3.057,8.432,0,0,YZ:2 S=-128;-128;127;-127
7,no_c39703ec_nohash_4,no,no,1,no,1,-128;-101;-126;98,-128;-101;-126;98,0.0000,3.155,8.303,0,0,YZ:3 S=-128;-101;-126;98
8,no_c0fb6812_nohash_0,no,no,1,no,1,-128;-108;-127;107,-128;-108;-127;107,0.0000,3.044,8.399,0,0,YZ:3 S=-128;-108;-127;107
9,yes_4bc2c2c5_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,3.083,8.445,0,0,YZ:2 S=-128;-128;127;-128
10,_background_noise__doing_the_dishes,silence,silence,1,silence,1,43;-71;-119;-109,43;-71;-119;-109,0.0000,3.058,8.430,0,0,YZ:0 S=43;-71;-119;-109
